geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Közép-Magyarország (NUTS 2013),4.8,,4.5,,6.5,,8.9,,9,,9.5,,:,,:,,:,,:,,:,,:,
Közép-Dunántúl,4.9,,5.8,,9.2,,10,,9.5,,9.9,,8.7,,5.6,,4.4,,3,,2.2,,2.2,
Nyugat-Dunántúl,5.1,,5,,8.7,,9.3,,7.3,,7.5,,7.7,,4.6,,3.8,,2.7,,2.4,,2,
Dél-Dunántúl,9.9,,10.3,,11.2,,12.4,,12.9,,12.1,,9.3,,7.8,,8.1,,6.2,,6.3,,5.6,
Észak-Magyarország,12.6,,13.3,,15.3,,16.2,,16.4,,16.1,,12.6,,10.4,,8.7,,6.3,,5.8,,4.7,
Észak-Alföld,10.7,,12.1,,14.1,,14.4,,14.6,,13.9,,14.2,,11.8,,10.9,,9.3,,7.4,,6.6,
Dél-Alföld,8,,8.7,,10.6,,10.4,,10.5,,10.3,,11,,9,,7.9,,5.6,,4.1,,3.3,
Malta,6.5,,6,,6.9,,6.8,,6.4,,6.2,,6.1,,5.7,,5.4,,4.7,,4,,3.7,
Groningen,7.5,,5.9,,6.8,,6.2,,6.8,,7,,8.2,,8.6,,9.1,,8.2,,7.2,,5.5,
Friesland (NL),3.7,,3.8,,4.4,,5.3,,5.1,,6.4,,8.3,,7.9,,7.9,,6.7,,5.5,,4.7,
Drenthe,4.9,,4.4,,4.7,,4.9,,5.3,,6.4,,7.1,,7.3,,7.5,,6.5,,5,,4.1,
Overijssel,4.1,,3.5,,4,,4.9,,4.9,,5.6,,7.2,,7.3,,6.9,,6.2,,5.1,,3.7,
Gelderland,3.4,,3.5,,3.8,,4.6,,4.7,,5.3,,6.6,,6.9,,6.3,,5.6,,4.5,,3.3,
Flevoland,4.8,,4.2,,4.5,,5.7,,5.4,,7.3,,9.9,,11,,7.9,,7.9,,5.7,,4.5,
Utrecht,3.7,,2.8,,3.9,,4.2,,4.2,,5.2,,6.4,,6.4,,6.4,,5,,4.2,,3.4,
Noord-Holland,3.9,,3.5,,4.1,,4.7,,5,,5.4,,7.2,,6.9,,6.2,,5.5,,4.5,,3.8,
Zuid-Holland,4.5,,3.8,,4.8,,5.7,,5.6,,6.9,,7.9,,8.4,,7.8,,7.1,,5.5,,4.3,
Zeeland,2.7,,2.7,,2.5,,3,,3.2,,3.5,,5,,5.4,,5.3,,3.9,,2.9,,2.7,
Noord-Brabant,3.5,,3.2,,4,,4.7,,4.6,,5.3,,6.7,,7,,6.5,,5.3,,4.2,,3.4,
Limburg (NL),5.4,,4.6,,5.6,,5.6,,4.8,,5.4,,7.4,,7.4,,6.3,,5.7,,4.7,,3.4,
Burgenland (AT),4.1,(bu),4.2,(u),5,,4,(u),3.8,(u),4.6,,4.3,,4.8,,5.2,,5.7,,5.2,,4.2,(u)
Niederösterreich,4,(b),3.7,,4.7,,3.9,,4.5,,4.6,,5,,5.1,,5.2,,5.2,,4.8,,3.8,
Wien,9.2,(b),7.3,,8.7,,8.3,,8,,8.9,,9.2,,10.2,,10.6,,11.3,,10.4,,10,
Kärnten,4.2,(b),3.6,,4.6,,4.3,,4.3,,5,,5.5,,6,,6.1,,5.4,,4.8,,4.1,
Steiermark,4.1,(b),3.8,,5,,4.5,,3.6,,4,,4.7,,4.9,,4.7,,5.1,,4.5,,4,
Oberösterreich,3.4,(b),2.7,,4.2,,3.9,,3.4,,3.3,,4.3,,4,,4.1,,4.4,,3.9,,3.2,
Salzburg,3.5,(b),2.8,,3.6,,3.2,,2.9,,2.9,,3.2,,3.5,,3.5,,3.4,,3.1,,2.8,
Tirol,3,(b),2.6,,3.3,,3.2,,2.7,,2.8,,3.1,,3.2,,3,,3.5,,3.3,,2.4,
Vorarlberg,4.1,(b),4.1,,5.6,,4.6,,4.1,,4,,3.6,,3.4,,3.5,,3.4,,3.7,,3.3,
Malopolskie,8.5,,6.2,,7.9,,9.1,(b),9.3,,10.4,,10.9,,9.1,,7.1,,5.2,(b),4.2,,2.9,
Slaskie,8.1,,6.6,,6.7,,9.2,(b),9.2,,9.4,,9.7,,8.6,,7.2,,5.4,(b),3.9,,3.4,
Wielkopolskie,8.3,,6.1,,7.5,,8.8,(b),8.6,,8.5,,8.8,,7.7,,5.8,,4.8,(b),3.1,,2.2,
Zachodniopomorskie,11.5,,9.5,,10.4,,12.4,(b),11.8,,10.9,,10.1,,8.4,,7.5,,6.9,(b),4.6,,3.8,
Lubuskie,9.8,,6.5,,9.6,,10.6,(b),9.4,,9,,9.7,,8.3,,6.4,,4.7,(b),3.7,,3,(u)
Dolnoslaskie,12.7,,9.1,,10.1,,11.3,(b),10.6,,11.1,,11.3,,9.1,,7,,5.5,(b),4.7,,3.3,
Opolskie,9.4,,6.5,,9.9,,9.6,(b),9.3,,9.5,,9.4,,7.8,,6.5,,5,(b),4.3,,3.2,(u)
Kujawsko-Pomorskie,11.3,,9.1,,10.4,,10.6,(b),11,,11.9,,12.4,,10.7,,7.9,,7.4,(b),5.5,,4.3,
Warminsko-Mazurskie,10.5,,7.4,,8.5,,9.7,(b),9.6,,11,,11.4,,9.8,,9.5,,8.8,(b),7.2,,5.6,
