geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Pohjois- ja Itä-Suomi,95,,95,,95,,98,,112,,112,,112,,133,,138,,138,,138,,138,
Åland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Stockholm,253,,268,,262,,297,,296,,297,,297,,304,,308,,310,,309,,313,
Östra Mellansverige,470,,540,,553,,565,,585,,582,,580,,579,,590,,589,,589,,589,
Småland med öarna,180,,194,,190,,191,,194,,194,,194,,194,,194,,194,,194,,197,
Sydsverige,282,,304,,309,,307,,320,,329,,333,,342,,356,,361,,361,,365,
Västsverige,392,,409,,428,,454,,467,,473,,517,,542,,543,,568,,568,,570,
Norra Mellansverige,86,,101,,92,,89,,89,,62,,62,,62,,62,,61,,61,,63,
Mellersta Norrland,15,,15,,16,,15,,15,,15,,15,,15,,29,,29,,29,,29,
Övre Norrland,0,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,
Northern Ireland (UK),114,,114,,114,,114,,114,,115,,116,,115,,115,,115,,115,,115,
Ísland,:,,:,(z),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Liechtenstein,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),0,,:,,:,,:,(z)
Oslo og Akershus,110,,108,,112,,119,,128,,133,,144,,166,,:,,181,,181,,174,
Hedmark og Oppland,0,,0,,0,,0,,14,,14,,16,,16,,:,,28,,28,,37,
Sør-Østlandet,88,,107,,110,,151,,165,,172,,169,,183,,:,,222,,222,,229,
Agder og Rogaland,13,,13,,25,,63,,63,,63,,51,,63,,:,,63,,63,,63,
Vestlandet,11,,11,,11,,11,,11,,11,,13,,13,,:,,12,,13,,20,
Trøndelag,0,,0,,0,,0,,0,,0,,0,,0,,:,,0,,0,,0,
Nord-Norge,0,,0,,0,,0,,0,,0,,0,,0,,:,,0,,0,,0,
Région lémanique,280,,280,,280,,280,,280,,280,,280,,280,,280,,337,,344,,344,
Espace Mittelland,298,,319,,319,,319,,319,,325,,329,,329,,340,,419,,424,,438,
Nordwestschweiz,138,,139,,139,,139,,139,,139,,139,,139,,139,,139,,139,,139,
Zürich,112,,112,,112,,135,,135,,138,,138,,138,,138,,151,,151,,151,
Ostschweiz,243,,243,,243,,243,,243,,243,,243,,243,,243,,383,,386,,386,
Zentralschweiz,181,,181,,181,,181,,181,,181,,181,,181,,181,,259,,259,,259,
Ticino,109,,109,,109,,109,,109,,109,,109,,109,,109,,137,,139,,139,
Istanbul,211,,211,,194,,186,,186,,186,,186,,303,,303,,303,,451,,:,
"Tekirdag, Edirne, Kirklareli",185,,185,,183,,165,,165,,165,,165,,165,,165,,165,,165,,:,
"Balikesir, Çanakkale",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
Izmir,174,,174,,210,,209,,209,,213,,213,,213,,221,,225,,247,,:,
"Aydin, Denizli, Mugla",88,,88,,51,,51,,51,,51,,51,,51,,51,,51,,53,,:,
"Manisa, Afyonkarahisar, Kütahya, Usak",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Bursa, Eskisehir, Bilecik",65,,65,,65,,65,,74,,74,,74,,74,,80,,80,,131,,:,
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",281,,281,,329,,331,,331,,331,,331,,330,,330,,330,,367,,:,
Ankara,207,,207,,199,,198,,198,,198,,198,,198,,198,,198,,198,,:,
"Konya, Karaman",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Antalya, Isparta, Burdur",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Adana, Mersin",320,,320,,311,,311,,318,,311,,309,,307,,307,,307,,307,,:,
"Hatay, Kahramanmaras, Osmaniye",194,,194,,203,,195,,195,,195,,195,,194,,194,,194,,194,,:,
"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",0,,0,,0,,70,,70,,104,,114,,115,,135,,135,,135,,:,
"Kayseri, Sivas, Yozgat",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Zonguldak, Karabük, Bartin",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Kastamonu, Çankiri, Sinop",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Samsun, Tokat, Çorum, Amasya",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,:,
"Erzurum, Erzincan, Bayburt",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Agri, Kars, Igdir, Ardahan",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Malatya, Elazig, Bingöl, Tunceli",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Van, Mus, Bitlis, Hakkari",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
"Gaziantep, Adiyaman, Kilis",158,,158,,156,,134,,137,,145,,145,,148,,148,,148,,148,,:,
"Sanliurfa, Diyarbakir",104,,104,,109,,121,,146,,146,,146,,146,,146,,146,,146,,:,
"Mardin, Batman, Sirnak, Siirt",0,,0,,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,
:=not available z=not applicable ,,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,Eurostat,,,,,,,,,,,,,,,,,,,,,,,
Last update:,13.05.2019,,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,17 May 2019 16:43:11 CEST,,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,https://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tgs00114,,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,https://ec.europa.eu/info/legal-notice_en,,,,,,,,,,,,,,,,,,,,,,,
Code:,tgs00114,,,,,,,,,,,,,,,,,,,,,,,
